"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"248","1.451613","1° 27' 06""","—","No","2^3 × 31","Blend of prime factors: H2³ (pressure/polarity) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 31 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^3 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"249","1.445783","1° 26' 45""","—","No","3 × 83","Blend of prime factors: H3 (ease/flow) + H83 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 83 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3 × 83 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"250","1.44","1° 26' 24""","—","No","2 × 5^3","Blend of prime factors: H2 (pressure/polarity) + H5³ (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5^3 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 5^3 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"251","1.434263","1° 26' 03""","—","Yes","251","Prime H251: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"252","1.428571","1° 25' 43""","—","No","2^2 × 3^2 × 7","Blend of prime factors: H2² (pressure/polarity) + H3² (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3^2 × 7 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^2 × 3^2 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"253","1.422925","1° 25' 23""","—","No","11 × 23","Blend of prime factors: H11 (Uranian excess) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11 × 23 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","11 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"254","1.417323","1° 25' 02""","—","No","2 × 127","Blend of prime factors: H2 (pressure/polarity) + H127 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 127 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 127 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"255","1.411765","1° 24' 42""","—","No","3 × 5 × 17","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 17 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3 × 5 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"256","1.40625","1° 24' 22""","—","No","2^8","Blend of prime factors: H2^8 (pressure/polarity). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^8 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^8 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"257","1.400778","1° 24' 03""","—","Yes","257","Prime H257: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"258","1.395349","1° 23' 43""","—","No","2 × 3 × 43","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 43 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 3 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"259","1.389961","1° 23' 24""","—","No","7 × 37","Blend of prime factors: H7 (fate/inspiration) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 37 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","7 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"260","1.384615","1° 23' 05""","—","No","2^2 × 5 × 13","Blend of prime factors: H2² (pressure/polarity) + H5 (creative form) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 5 × 13 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^2 × 5 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"261","1.37931","1° 22' 46""","—","No","3^2 × 29","Blend of prime factors: H3² (ease/flow) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 29 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3^2 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"262","1.374046","1° 22' 27""","—","No","2 × 131","Blend of prime factors: H2 (pressure/polarity) + H131 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 131 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 131 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"263","1.368821","1° 22' 08""","—","Yes","263","Prime H263: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"264","1.363636","1° 21' 49""","—","No","2^3 × 3 × 11","Blend of prime factors: H2³ (pressure/polarity) + H3 (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3 × 11 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2^3 × 3 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"265","1.358491","1° 21' 31""","—","No","5 × 53","Blend of prime factors: H5 (creative form) + H53 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 53 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","5 × 53 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"266","1.353383","1° 21' 12""","—","No","2 × 7 × 19","Blend of prime factors: H2 (pressure/polarity) + H7 (fate/inspiration) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 7 × 19 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","2 × 7 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"267","1.348315","1° 20' 54""","—","No","3 × 89","Blend of prime factors: H3 (ease/flow) + H89 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 89 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","3 × 89 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
